,RESERVA_TER_COD,RESERVA_LOCAL,RESERVA_DESTINO,RESERVA_DESCRICAO,RESERVA_POSICAO,VEICULO,RESERVA_TIPO_FACT,PED_COD_SERVICO,PED_NUM_VEICULOS,PED_NUM_BOMBEIROS,PED_KILOMETROS,PED_LOCAL,DURACAO_MINUTOS,ANO,MES,DIA_SEMANA,HORA_SAIDA_NUM,MINUTOS_SAIDA,TURNO,MEDIA_ANUAL_VEICULOS,DIFERENCA_DIARIA_VEICULOS
RESERVA_TER_COD,1.0,0.2322268000673592,0.2761382387003162,0.06300722827731849,0.2672024183558861,0.45092861982534393,0.27375665995809584,0.0012119248789084342,0.06917076331654747,0.0009111431045683838,0.011811634061178578,0.14504411873409812,0.12612937476264074,0.4582272871931655,0.02626497802957635,-0.10117306474306,-0.3274070807547985,-0.32434479248053594,0.32536916460237275,-0.18905526085355157,0.016543685700400487
RESERVA_LOCAL,0.2322268000673592,1.0,0.1500230361294277,0.011361966686099038,0.08652126361710992,0.167846383315028,0.13912728514025677,-0.004672192988386657,0.0031219169324187284,-0.02435046894149222,0.010277283572474958,0.08481763627032626,0.03038242683517846,0.18462765597576028,0.0027618180412962413,-0.03730623793609043,-0.11626948027495385,-0.11670155285815656,0.10527836888806749,-0.14670751949915412,0.00857422224668325
RESERVA_DESTINO,0.2761382387003162,0.1500230361294277,1.0,0.21340412837971623,0.1823165131807174,0.3374282716789894,0.23129794863995984,-0.012716482780824802,0.032157850386185564,0.026088024714811673,0.000586139372410839,0.5571330795626732,0.01383319644871689,0.49696235739342404,0.032943087431515465,-0.039593685099934585,-0.1074547109742657,-0.10591842945962908,0.11432784816995424,-0.34636685564897574,0.017702252931778243
RESERVA_DESCRICAO,0.06300722827731849,0.011361966686099038,0.21340412837971623,1.0,0.10259610413835722,0.23498540991031058,0.07866517810293194,-0.02326756415640074,0.13690402735733903,0.11757430520758108,-0.001111892879711401,0.19984794988117974,0.042778277401372036,0.34657598642358056,0.02187297299280184,0.02248461916543904,0.017751374010542227,0.019149374534247178,0.00782355042613322,-0.2576795028019211,-0.0013130714236976625
RESERVA_POSICAO,0.2672024183558861,0.08652126361710992,0.1823165131807174,0.10259610413835722,1.0,0.3065272900922491,0.17500197864598446,0.017785699078251588,-0.00036058673952756276,-0.036684598511874195,-0.002451304966663205,0.0900036002340351,0.02531399123530268,0.25318403659795247,0.010105312100143022,-0.07305354250421069,-0.15362018623031348,-0.15427834767072457,0.11978933403759508,-0.18885050227012692,0.02530382063730927
VEICULO,0.45092861982534393,0.167846383315028,0.3374282716789894,0.23498540991031058,0.3065272900922491,1.0,0.2813961957126803,0.0001746079983732425,0.01799223676270217,-0.05326052388361204,0.009618668354371925,0.2354438472141282,0.1657666423009124,0.6625901046309942,0.0491774977300693,-0.0387470525778295,-0.1968277183801806,-0.19446854164797575,0.20939237837001617,-0.449166109973612,-0.009243705667454406
RESERVA_TIPO_FACT,0.27375665995809584,0.13912728514025677,0.23129794863995984,0.07866517810293194,0.17500197864598446,0.2813961957126803,1.0,-0.009395792099794121,0.011221298349784392,-0.0220049886323978,0.00033244940965150864,0.1262717877258548,0.005970178659066646,0.3772486959226186,0.0233552682379871,-0.10950474375903758,-0.2222414208001889,-0.2218975364147555,0.1609624537235692,-0.1128388800270253,0.08876553504601331
PED_COD_SERVICO,0.0012119248789084342,-0.004672192988386657,-0.012716482780824802,-0.02326756415640074,0.017785699078251588,0.0001746079983732425,-0.009395792099794121,1.0,-0.23116901106270923,-0.1845818403745975,-0.00043730925025059107,-0.013953848195290868,0.004141456508703227,-0.0006085123576568612,0.0059955224008224105,-0.0029012086727873117,-0.000342120131468448,-0.0006172952394394269,0.0003305181998967598,0.002915975642121394,-0.005331512939353892
PED_NUM_VEICULOS,0.06917076331654747,0.0031219169324187284,0.032157850386185564,0.13690402735733903,-0.00036058673952756276,0.01799223676270217,0.011221298349784392,-0.23116901106270923,1.0,0.759522944045205,0.002016129440355443,0.03313868791294147,-0.007213461947539535,0.02579281707808255,0.006256134549982145,0.002854163001946096,0.0038958026117645143,0.003957774341162471,-0.0068677710469986315,-0.01343237203593003,0.025174716815417053
PED_NUM_BOMBEIROS,0.0009111431045683838,-0.02435046894149222,0.026088024714811673,0.11757430520758108,-0.036684598511874195,-0.05326052388361204,-0.0220049886323978,-0.1845818403745975,0.759522944045205,1.0,-0.0047594124813954645,0.05211627770183453,-0.08643122229976788,-0.02524302109528456,-0.001170350944941283,0.05750109404745253,0.07962281533018466,0.08045612859125255,-0.06616100858396487,0.028559078959936795,-0.01451916597397708
PED_KILOMETROS,0.011811634061178578,0.010277283572474958,0.000586139372410839,-0.001111892879711401,-0.002451304966663205,0.009618668354371925,0.00033244940965150864,-0.00043730925025059107,0.002016129440355443,-0.0047594124813954645,1.0,-0.0037877289390598292,0.02037678749756966,-0.001133922289606814,0.004231237826486831,0.0015184967101971333,-0.012177673914311536,-0.012067429618432001,0.007674789227519716,0.0026894212058412074,-0.0034006294965345904
PED_LOCAL,0.14504411873409812,0.08481763627032626,0.5571330795626732,0.19984794988117974,0.0900036002340351,0.2354438472141282,0.1262717877258548,-0.013953848195290868,0.03313868791294147,0.05211627770183453,-0.0037877289390598292,1.0,-0.02551933942845106,0.4105447877311439,0.026007845597659517,0.0010848093289885113,-0.025053951212713924,-0.02353063419572817,0.039215268662789474,-0.2608902871350831,0.012071307059376089
DURACAO_MINUTOS,0.12612937476264074,0.03038242683517846,0.01383319644871689,0.042778277401372036,0.02531399123530268,0.1657666423009124,0.005970178659066646,0.004141456508703227,-0.007213461947539535,-0.08643122229976788,0.02037678749756966,-0.02551933942845106,1.0,0.09265022553283356,0.01793770717454841,-0.0010920354835230405,0.20817116965575175,0.2080415077961171,0.15965654602694954,-0.06841344843230768,-0.03610815828153584
ANO,0.4582272871931655,0.18462765597576028,0.49696235739342404,0.34657598642358056,0.25318403659795247,0.6625901046309942,0.3772486959226186,-0.0006085123576568612,0.02579281707808255,-0.02524302109528456,-0.001133922289606814,0.4105447877311439,0.09265022553283356,1.0,0.005969264971626908,-0.032085269260299094,-0.14174330573069266,-0.138222502968591,0.16024348443410502,-0.6436250113789399,0.003333444266135502
MES,0.02626497802957635,0.0027618180412962413,0.032943087431515465,0.02187297299280184,0.010105312100143022,0.0491774977300693,0.0233552682379871,0.0059955224008224105,0.006256134549982145,-0.001170350944941283,0.004231237826486831,0.026007845597659517,0.01793770717454841,0.005969264971626908,1.0,0.0012124986296486759,-0.01726185083859739,-0.016984223287584522,0.022526146824420053,-0.01001523621610718,-0.09786970499114721
DIA_SEMANA,-0.10117306474306,-0.03730623793609043,-0.039593685099934585,0.02248461916543904,-0.07305354250421069,-0.0387470525778295,-0.10950474375903758,-0.0029012086727873117,0.002854163001946096,0.05750109404745253,0.0015184967101971333,0.0010848093289885113,-0.0010920354835230405,-0.032085269260299094,0.0012124986296486759,1.0,0.09827217051958928,0.09964552602417132,-0.06883911157535688,0.0029368817917166568,-0.3263001651301769
HORA_SAIDA_NUM,-0.3274070807547985,-0.11626948027495385,-0.1074547109742657,0.017751374010542227,-0.15362018623031348,-0.1968277183801806,-0.2222414208001889,-0.000342120131468448,0.0038958026117645143,0.07962281533018466,-0.012177673914311536,-0.025053951212713924,0.20817116965575175,-0.14174330573069266,-0.01726185083859739,0.09827217051958928,1.0,0.9984077086631321,-0.7035085014653067,0.06659135921710854,-0.040725631016898946
MINUTOS_SAIDA,-0.32434479248053594,-0.11670155285815656,-0.10591842945962908,0.019149374534247178,-0.15427834767072457,-0.19446854164797575,-0.2218975364147555,-0.0006172952394394269,0.003957774341162471,0.08045612859125255,-0.012067429618432001,-0.02353063419572817,0.2080415077961171,-0.138222502968591,-0.016984223287584522,0.09964552602417132,0.9984077086631321,1.0,-0.7020423169590452,0.06589284900852561,-0.04124805087497591
TURNO,0.32536916460237275,0.10527836888806749,0.11432784816995424,0.00782355042613322,0.11978933403759508,0.20939237837001617,0.1609624537235692,0.0003305181998967598,-0.0068677710469986315,-0.06616100858396487,0.007674789227519716,0.039215268662789474,0.15965654602694954,0.16024348443410502,0.022526146824420053,-0.06883911157535688,-0.7035085014653067,-0.7020423169590452,1.0,-0.10133837883658639,-0.0006513481922186572
MEDIA_ANUAL_VEICULOS,-0.18905526085355157,-0.14670751949915412,-0.34636685564897574,-0.2576795028019211,-0.18885050227012692,-0.449166109973612,-0.1128388800270253,0.002915975642121394,-0.01343237203593003,0.028559078959936795,0.0026894212058412074,-0.2608902871350831,-0.06841344843230768,-0.6436250113789399,-0.01001523621610718,0.0029368817917166568,0.06659135921710854,0.06589284900852561,-0.10133837883658639,1.0,0.0422318933969219
DIFERENCA_DIARIA_VEICULOS,0.016543685700400487,0.00857422224668325,0.017702252931778243,-0.0013130714236976625,0.02530382063730927,-0.009243705667454406,0.08876553504601331,-0.005331512939353892,0.025174716815417053,-0.01451916597397708,-0.0034006294965345904,0.012071307059376089,-0.03610815828153584,0.003333444266135502,-0.09786970499114721,-0.3263001651301769,-0.040725631016898946,-0.04124805087497591,-0.0006513481922186572,0.0422318933969219,1.0
